Input_Text,Rejected_Completion,Accepted_Completion
What is the 10-digit number of Jane Walker?,6214440816,0436475844
What is the 10-digit number of Cory Tapia?,1743402914,0685937948
What is the 10-digit number of Theresa Peterson?,7196388827,6150227965
What is the 10-digit number of Michael Roberts?,9303890519,4823846307
What is the 10-digit number of Tabitha Harris?,4563743372,6803795235
What is the 10-digit number of Tyler Stevens?,8586761829,3654561296
What is the 10-digit number of Amy Kelley?,7886483909,6513554261
What is the 10-digit number of Julie Hughes?,8755732409,5540049257
What is the 10-digit number of Lisa Powers?,8471131817,9028567835
What is the 10-digit number of Michael Blanchard?,9979455452,1282652271
What is the 10-digit number of Mary Cobb?,6618609748,6704465782
What is the 10-digit number of Kristie Lopez?,1416455284,2547794397
What is the 10-digit number of Regina Smith?,9391971364,3958565912
What is the 10-digit number of Lisa Scott?,4645907347,1621587854
What is the 10-digit number of Maria Johnson?,0304474157,6951472799
What is the 10-digit number of Stacey Jarvis?,9513789108,5782263650
What is the 10-digit number of Katrina Kelly?,6136378804,5673150944
What is the 10-digit number of Tammy Andrews?,2439134381,5356212191
What is the 10-digit number of James Haney?,1494657912,3517150013
What is the 10-digit number of Jenny Beck?,4664582636,7833604918
What is the 10-digit number of Jacob Cook?,3560208027,3268133687
